['H82', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37'] [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ['G5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5'] 
['H83', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32'] [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ['B4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4'] 
['H84', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33'] [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ['C#4', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3'] 
['H85', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34'] [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ['C4', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2'] 
['H86', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35', 'C36', 'C37', 'C32', 'C33', 'C34', 'C35'] [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ['G4', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2', 'F3', 'E5', 'G4', 'A#3', 'A#2', 'G#2'] 
['H87', 'C31', 'C37'] [0, 1, 1] ['C6', 'F4', 'E5'] 
['H88', 'C31', 'C37'] [0, 1, 1] ['G5', 'F4', 'E5'] 
['H89', 'C31', 'C37'] [0, 1, 1] ['G5', 'F4', 'E5'] 
['H1', 'C2', 'Si1', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['C#5', 'D#4', 'D#3', 'G#2', 'G#2', 'G#1'] 
['H2', 'C2', 'Si1', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['D5', 'D#4', 'D#3', 'G#2', 'G#2', 'G#1'] 
['H3', 'C2', 'Si1', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['D5', 'D#4', 'D#3', 'G#2', 'G#2', 'G#1'] 
['H4', 'C3', 'Si1', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['B4', 'A3', 'D#3', 'G#2', 'G#2', 'G#1'] 
['H5', 'C3', 'Si1', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['G#4', 'A3', 'D#3', 'G#2', 'G#2', 'G#1'] 
['H6', 'C3', 'Si1', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['B4', 'A3', 'D#3', 'G#2', 'G#2', 'G#1'] 
['H7', 'C4', 'Si1', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['G#4', 'D#3', 'D#3', 'G#2', 'G#2', 'G#1'] 
['H8', 'C4', 'Si1', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['F#4', 'D#3', 'D#3', 'G#2', 'G#2', 'G#1'] 
['H9', 'C4', 'Si1', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['G4', 'D#3', 'D#3', 'G#2', 'G#2', 'G#1'] 
['H10', 'C5', 'Si2', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['D#4', 'F2', 'F#2', 'G#2', 'G#2', 'G#1'] 
['H11', 'C5', 'Si2', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['D#4', 'F2', 'F#2', 'G#2', 'G#2', 'G#1'] 
['H12', 'C5', 'Si2', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['C4', 'F2', 'F#2', 'G#2', 'G#2', 'G#1'] 
['H13', 'C6', 'Si2', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['C4', 'E2', 'F#2', 'G#2', 'G#2', 'G#1'] 
['H14', 'C6', 'Si2', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['D4', 'E2', 'F#2', 'G#2', 'G#2', 'G#1'] 
['H15', 'C6', 'Si2', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['D4', 'E2', 'F#2', 'G#2', 'G#2', 'G#1'] 
['H16', 'C7', 'Si2', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['D#4', 'F#2', 'F#2', 'G#2', 'G#2', 'G#1'] 
['H17', 'C7', 'Si2', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['E4', 'F#2', 'F#2', 'G#2', 'G#2', 'G#1'] 
['H18', 'C7', 'Si2', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['C#4', 'F#2', 'F#2', 'G#2', 'G#2', 'G#1'] 
['H19', 'C8', 'Si3', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['E4', 'C#3', 'C#3', 'G#2', 'G#2', 'G#1'] 
['H20', 'C8', 'Si3', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['F#4', 'C#3', 'C#3', 'G#2', 'G#2', 'G#1'] 
['H21', 'C8', 'Si3', 'C1', 'In1', 'I1'] [0, 1, 2, 3, 4, 5] ['G4', 'C#3', 'C#3', 'G#2', 'G#2', 'G#1'] 
